reference_svt,reference_rs,notes,image_index,designation,quantite_achat,quantite_stock,confidence,product_url,image_url,image_candidate_count,last_scraped_index,image_source,fournisseur,stable_image_url
010047,5024586,,0,,,,,,,,,,,
010047,523-2FA1-NDSP-C04-1,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '52321041',,,,,,,0,,,
010048,5024585,,0,,,,,,,,,,,
010048,523-FA1-NKSP-C04-1,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '5231041',,,,,,,0,,,
010025,5026420,,0,,,,,,,,,,,
010025,681-2663,,0,"Connecteur automobile, série AMP MCP 2.8 Femelle, Droit TE Connectivity, , pas 5.5 mm, 21 contacts sur 3 rangs",1 paquet de 5 unités,,,https://fr.rs-online.com/web/p/boitiers-de-connecteurs-pour-circuits-imprimes/6812663,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/F6812663-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/010025__681-2663.jpg
010060,5024771,,0,,,,,,,,,,,
010060,124-7083,handwritten correction; printed looked like 508-5337,0,"Connecteur cylindrique série T411, M12 TE Connectivity Droit, 5 contacts Embase, Câble Femelle IP67",1 unité,47,,https://fr.rs-online.com/web/p/connecteurs-circulaires-industriels/1247083,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/F1247083-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/010060__124-7083.jpg
010049,123-1058,,0,"Connecteur cylindrique série M12, M12 HARTING Droit, 8 contacts Connecteur mâle, Câble Mâle IP67",1 unité,118,,https://fr.rs-online.com/web/p/connecteurs-circulaires-industriels/1231058,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/F1231058-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/010049__123-1058.jpg
010049,5024334,,0,,,,,,,,,,,
010071,124-7083,handwritten correction; printed was 253-0339,0,"Connecteur cylindrique série T411, M12 TE Connectivity Droit, 5 contacts Embase, Câble Femelle IP67",1 unité,47,,https://fr.rs-online.com/web/p/connecteurs-circulaires-industriels/1247083,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/F1247083-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/010071__124-7083.jpg
010071,5024772,,0,,,,,,,,,,,
010065,5026541,,0,,,,,,,,,,,
010065,731-3088,,0,"Connecteur automobile AMP MCP 2.8,  TE Connectivity type Câble type Boîtier de connecteur pour l'automobile  Gris,  type",1 paquet de 5 unités,,,https://fr.rs-online.com/web/p/connecteurs-automobiles/7313088,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/R7313088-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/010065__731-3088.jpg
060000,5024605,,0,,,,,,,,,,,
060000,556_20064,,0,,,,,,,,,,,
030054,749-5461,,0,"Fil de câblage, Ecogen Ecowire Plus, 0.75 mm², Blanc Alpha Wire 19, 300V, 18 AWG, 30 m Polyéthylène, Ether de",1 bobine de 30 mètres,90,,https://fr.rs-online.com/web/p/fils-de-cablage/7495461,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/R7495348-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/030054__749-5461.jpg
